id,general_team,general_city,general_team_name,full_name,is_active,draft_team,draft_city,draft_team_name,organization_type,seniority,position,from_year,to_year,g-league,greatest_75_flag,height_definitivo,weight,hub,num_equipos
1631169,1610612750,Minnesota,Timberwolves,Josh Minott,Active,1610612766.0,Charlotte,Hornets,College/University,1.0,Forward,2022.0,2023.0,Yes,No,203.2,93.0,USA,1
1629633,1610612737,Atlanta,Hawks,Jarrett Culver,Active,1610612756.0,Phoenix,Suns,College/University,4.0,Guard-Forward,2019.0,2022.0,Yes,No,198.12,88.5,USA,3
1631120,1610612738,Boston,Celtics,JD Davison,Active,1610612738.0,Boston,Celtics,College/University,1.0,Guard,2022.0,2023.0,Yes,No,185.42,88.5,USA,1
1631214,1610612751,Brooklyn,Nets,Alondes Williams,Active,0.0,Undrafted,Undrafted,Unknown,1.0,Guard,2022.0,2022.0,Yes,No,193.04,95.3,USA,1
202693,1610612751,Brooklyn,Nets,Markieff Morris,Active,1610612756.0,Phoenix,Suns,College/University,12.0,Forward,2011.0,2023.0,No,No,205.74,111.1,USA,7
1629646,1610612759,San Antonio,Spurs,Charles Bassey,Active,1610612755.0,Philadelphia,76ers,College/University,2.0,Center-Forward,2021.0,2023.0,Yes,No,205.74,104.3,Africa,2
1631103,1610612759,San Antonio,Spurs,Malaki Branham,Active,1610612759.0,San Antonio,Spurs,College/University,1.0,Forward,2022.0,2023.0,Yes,No,193.04,81.6,USA,1
203085,1610612750,Minnesota,Timberwolves,Austin Rivers,Active,1610612740.0,New Orleans,Hornets,College/University,11.0,Guard,2012.0,2023.0,No,No,193.04,90.7,USA,9
1628978,1610612744,Golden State,Warriors,Donte DiVincenzo,Active,1610612749.0,Milwaukee,Bucks,College/University,5.0,Guard,2018.0,2023.0,Yes,No,193.04,92.1,USA,2
1631116,1610612744,Golden State,Warriors,Patrick Baldwin Jr.,Active,1610612744.0,Golden State,Warriors,College/University,1.0,Forward,2022.0,2023.0,Yes,No,205.74,99.8,USA,1
1631157,1610612744,Golden State,Warriors,Ryan Rollins,Active,1610612737.0,Atlanta,Hawks,College/University,1.0,Guard,2022.0,2023.0,Yes,No,190.5,81.6,USA,1
1631205,1610612765,Detroit,Pistons,Buddy Boeheim,Active,0.0,Undrafted,Undrafted,Unknown,1.0,Forward,2022.0,2023.0,Yes,No,198.12,93.0,USA,1
1630296,1610612765,Detroit,Pistons,Braxton Key,Active,0.0,Undrafted,Undrafted,Unknown,2.0,Forward,2021.0,2022.0,Yes,No,203.2,102.1,USA,2
1630647,1610612760,Oklahoma City,Thunder,Eugene Omoruyi,Active,0.0,Undrafted,Undrafted,Unknown,3.0,Forward,2021.0,2022.0,Yes,No,198.12,106.6,Africa,2
1631199,1610612761,Toronto,Raptors,Ron Harper Jr.,Active,0.0,Undrafted,Undrafted,Unknown,1.0,Forward,2022.0,2023.0,Yes,No,195.58,111.1,USA,1
1630288,1610612761,Toronto,Raptors,Jeff Dowtin,Active,0.0,Undrafted,Undrafted,Unknown,2.0,Guard,2021.0,2023.0,Yes,No,190.5,80.3,USA,3
1630600,1610612739,Cleveland,Cavaliers,Isaiah Mobley,Active,1610612739.0,Cleveland,Cavaliers,College/University,1.0,Forward,2022.0,2023.0,Yes,No,203.2,108.0,USA,1
1631260,1610612749,Milwaukee,Bucks,A.J. Green,Active,0.0,Undrafted,Undrafted,Unknown,1.0,Guard,2022.0,2023.0,Yes,No,195.58,86.2,USA,1
1630235,1610612737,Atlanta,Hawks,Trent Forrest,Active,0.0,Undrafted,Undrafted,Unknown,3.0,Guard,2020.0,2023.0,Yes,No,193.04,95.3,USA,2
1631093,1610612765,Detroit,Pistons,Jaden Ivey,Active,1610612765.0,Detroit,Pistons,College/University,1.0,Guard,2022.0,2023.0,No,No,193.04,88.5,USA,1
1629308,1610612747,Los Angeles,Lakers,Juan Toscano-Anderson,Active,0.0,Undrafted,Undrafted,Unknown,4.0,Forward,2019.0,2023.0,Yes,No,198.12,94.8,USA,3
1631111,1610612750,Minnesota,Timberwolves,Wendell Moore Jr.,Active,1610612742.0,Dallas,Mavericks,College/University,1.0,Guard,2022.0,2023.0,Yes,No,195.58,97.5,USA,1
1631323,1610612762,Utah,Jazz,Simone Fontecchio,Active,0.0,Undrafted,Undrafted,Unknown,1.0,Forward,2022.0,2023.0,No,No,200.66,94.8,Western Europe,1
1631117,1610612762,Utah,Jazz,Walker Kessler,Active,1610612763.0,Memphis,Grizzlies,College/University,1.0,Center,2022.0,2023.0,No,No,213.36,111.1,USA,1
203484,1610612743,Denver,Nuggets,Kentavious Caldwell-Pope,Active,1610612765.0,Detroit,Pistons,College/University,10.0,Guard,2013.0,2023.0,No,No,195.58,92.5,USA,4
1628432,1610612743,Denver,Nuggets,Davon Reed,Active,1610612756.0,Phoenix,Suns,College/University,4.0,Guard,2017.0,2022.0,Yes,No,195.58,93.4,USA,3
1626153,1610612764,Washington,Wizards,Delon Wright,Active,1610612761.0,Toronto,Raptors,College/University,8.0,Guard,2015.0,2023.0,Yes,No,195.58,83.9,USA,5
1630700,1610612740,New Orleans,Pelicans,Dyson Daniels,Active,1610612740.0,New Orleans,Pelicans,Other Team/Club,1.0,Guard,2021.0,2023.0,Yes,No,200.66,90.3,Oceania,1
203083,1610612741,Chicago,Bulls,Andre Drummond,Active,1610612765.0,Detroit,Pistons,College/University,11.0,Center,2012.0,2023.0,No,No,210.82,126.6,USA,5
1631222,1610612763,Memphis,Grizzlies,Jake LaRavia,Active,1610612750.0,Minnesota,Timberwolves,College/University,1.0,Forward,2022.0,2023.0,Yes,No,200.66,106.6,USA,1
1631110,1610612759,San Antonio,Spurs,Jeremy Sochan,Active,1610612759.0,San Antonio,Spurs,College/University,1.0,Forward,2022.0,2023.0,No,No,203.2,104.3,Eastern Europe,1
1630195,1610612762,Utah,Jazz,Leandro Bolmaro,Active,1610612752.0,New York,Knicks,Other Team/Club,2.0,Forward,2021.0,2022.0,Yes,No,198.12,90.7,Latin America,2
1631105,1610612765,Detroit,Pistons,Jalen Duren,Active,1610612766.0,Charlotte,Hornets,College/University,1.0,Center,2022.0,2023.0,No,No,210.82,113.4,USA,1
1631320,1610612758,Sacramento,Kings,Chima Moneke,Active,0.0,Undrafted,Undrafted,Unknown,1.0,Forward,2022.0,2022.0,Yes,No,195.58,101.2,Africa,1
1630593,1610612742,Dallas,Mavericks,McKinley Wright IV,Active,0.0,Undrafted,Undrafted,Unknown,2.0,Guard,2021.0,2023.0,Yes,No,180.34,87.1,USA,2
1631109,1610612766,Charlotte,Hornets,Mark Williams,Active,1610612766.0,Charlotte,Hornets,College/University,1.0,Center,2022.0,2023.0,Yes,No,213.36,108.9,USA,1
203526,1610612739,Cleveland,Cavaliers,Raul Neto,Active,1610612737.0,Atlanta,Hawks,Other Team/Club,8.0,Guard,2015.0,2023.0,Yes,No,187.96,81.6,Latin America,3
1629676,1610612759,San Antonio,Spurs,Isaiah Roby,Active,1610612765.0,Detroit,Pistons,College/University,4.0,Forward,2019.0,2023.0,Yes,No,203.2,104.3,USA,4
1631212,1610612743,Denver,Nuggets,Peyton Watson,Active,1610612760.0,Oklahoma City,Thunder,College/University,1.0,Guard,2022.0,2023.0,Yes,No,200.66,90.7,USA,1
1630613,1610612756,Phoenix,Suns,Duane Washington Jr.,Active,0.0,Undrafted,Undrafted,Unknown,2.0,Guard,2021.0,2023.0,Yes,No,187.96,89.4,Western Europe,3
1631220,1610612740,New Orleans,Pelicans,Dereon Seabron,Active,0.0,Undrafted,Undrafted,Unknown,1.0,Guard,2022.0,2023.0,Yes,No,195.58,81.6,USA,1
1630702,1610612742,Dallas,Mavericks,Jaden Hardy,Active,1610612758.0,Sacramento,Kings,Other Team/Club,1.0,Guard,2021.0,2023.0,Yes,No,190.5,89.8,USA,1
1631107,1610612748,Miami,Heat,Nikola Jovic,Active,1610612748.0,Miami,Heat,Other Team/Club,1.0,Forward,2022.0,2023.0,Yes,No,208.28,93.0,Eastern Europe,1
1628378,1610612739,Cleveland,Cavaliers,Donovan Mitchell,Active,1610612743.0,Denver,Nuggets,College/University,6.0,Guard,2017.0,2023.0,No,No,185.42,97.5,USA,2
1631095,1610612745,Houston,Rockets,Jabari Smith Jr.,Active,1610612745.0,Houston,Rockets,College/University,1.0,Forward,2022.0,2023.0,No,No,210.82,99.8,USA,1
203497,1610612750,Minnesota,Timberwolves,Rudy Gobert,Active,1610612743.0,Denver,Nuggets,Other Team/Club,10.0,Center,2013.0,2023.0,Yes,No,215.9,117.0,Western Europe,2
1629020,1610612762,Utah,Jazz,Jarred Vanderbilt,Active,1610612753.0,Orlando,Magic,College/University,5.0,Forward,2018.0,2023.0,Yes,No,203.2,97.1,USA,3
1631254,1610612763,Memphis,Grizzlies,Kenneth Lofton Jr.,Active,0.0,Undrafted,Undrafted,Unknown,1.0,Forward,2022.0,2023.0,Yes,No,198.12,124.7,USA,1
1631098,1610612764,Washington,Wizards,Johnny Davis,Active,1610612764.0,Washington,Wizards,College/University,1.0,Guard,2022.0,2023.0,Yes,No,193.04,88.5,USA,1
1627863,1610612755,Philadelphia,76ers,Danuel House Jr.,Active,0.0,Undrafted,Undrafted,Unknown,7.0,Forward-Guard,2016.0,2023.0,Yes,No,198.12,99.8,USA,6
1629022,1610612747,Los Angeles,Lakers,Lonnie Walker IV,Active,1610612759.0,San Antonio,Spurs,College/University,5.0,Guard-Forward,2018.0,2023.0,Yes,No,193.04,92.5,USA,2
201976,1610612747,Los Angeles,Lakers,Patrick Beverley,Active,1610612747.0,Los Angeles,Lakers,Other Team/Club,11.0,Guard,2012.0,2023.0,Yes,No,187.96,81.6,USA,6
1630534,1610612762,Utah,Jazz,Ochai Agbaji,Active,1610612739.0,Cleveland,Cavaliers,College/University,1.0,Guard,2022.0,2023.0,Yes,No,195.58,97.5,USA,1
1630284,1610612753,Orlando,Magic,Kevon Harris,Active,0.0,Undrafted,Undrafted,Unknown,1.0,Guard,2022.0,2023.0,Yes,No,198.12,98.0,USA,1
1626174,1610612742,Dallas,Mavericks,Christian Wood,Active,0.0,Undrafted,Undrafted,Unknown,7.0,Forward,2015.0,2023.0,Yes,No,205.74,97.1,USA,6
